uid,pr_link,repo,pr_title,media_type,isGithub,link_count,link_url,link_text,rank
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/41f1dffed08b33fe6d43da1e82d798b23ba0b57c,Link 24,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/Component,Link 25,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/15927,Link 26,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/8a88cdce6d4605f206305ebb9204a0cabf96a070,Link 27,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/c4ab460357478d2b847c60a1efb40098b1181931,Link 28,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/da5ad84bf441afd5c157bf83840814b1deaa39b1,Link 29,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/7250556e287922508d9f28c12a82165a60bab5d7,Link 30,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/f790be81319a70f08942b1e3c12d68ee392d3269,Link 31,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/96e057a0dc1efa7247b1c50843c9422a0ed66900,Link 32,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/pull/15968,Link 33,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/blob/main/CHANGELOG.md#323,Link 34,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/229006cd5b5178c195e5d66ce924d2b58bfde4ef,Link 35,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/compare/3.0.2...3.3.0,Link 36,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://github.com/prettier/prettier/commit/a4ea5a2e2fcebe72315c9c0523b35bc79fe91405,Link 37,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores,Link 38,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/15926,Link 39,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/16326,Link 40,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/pull/15969,Link 41,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://blog.angular.io/introducing-angular-v17-4d7033312e4b,Link 42,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/16063,Link 43,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/16325,Link 44,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/16323,Link 45,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/16324,Link 46,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=prettier&package-manager=npm_and_yarn&previous-version=3.0.2&new-version=3.3.0,Link 47,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/16322,Link 48,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/16320,Link 49,
5,https://github.com/ChatGPTNextWeb/NextChat/pull/4810,ChatGPTNextWeb/NextChat,chore(deps-dev): bump prettier from 3.0.2 to 3.3.0,text,TRUE,50,https://redirect.github.com/prettier/prettier/issues/16319,Link 50,
6,https://github.com/Significant-Gravitas/AutoGPT/pull/4626,Significant-Gravitas/AutoGPT,Implement quicker logs using plain_output,text,TRUE,4,https://github.com/Significant-Gravitas/Auto-GPT-Plugin-Template,Link 1,
6,https://github.com/Significant-Gravitas/AutoGPT/pull/4626,Significant-Gravitas/AutoGPT,Implement quicker logs using plain_output,text,TRUE,4,https://youtu.be/8-hSNHHbiZg,Link 2,
6,https://github.com/Significant-Gravitas/AutoGPT/pull/4626,Significant-Gravitas/AutoGPT,Implement quicker logs using plain_output,text,TRUE,4,https://github.com/Significant-Gravitas/Nexus/wiki/Contributing,Link 3,
6,https://github.com/Significant-Gravitas/AutoGPT/pull/4626,Significant-Gravitas/AutoGPT,Implement quicker logs using plain_output,text,TRUE,4,https://github.com/Significant-Gravitas/Auto-GPT/pull/4486,Link 4,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://github.com/actions/upload-artifact/pull/662,Link 1,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://github.com/actions/upload-artifact/compare/v4...v4.6.0,Link 2,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://renovatebot.com/diffs/npm/@types%2fchrome/0.0.290/0.0.294,Link 3,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://redirect.github.com/renovatebot/renovate,Link 4,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://redirect.github.com/angular/dev-infra,Link 5,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://redirect.github.com/actions/upload-artifact/compare/v4.5.0...v4.6.0,Link 6,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://redirect.github.com/actions/upload-artifact,Link 7,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://redirect.github.com/yacaovsnc,Link 8,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://redirect.github.com/actions/upload-artifact/releases/tag/v4.6.0,Link 9,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://redirect.github.com/actions/upload-artifact/pull/662,Link 10,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://redirect.github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/chrome,Link 11,
7,https://github.com/angular/angular/pull/59510,angular/angular,build: update all non-major dependencies,text,TRUE,12,https://redirect.github.com/DefinitelyTyped/DefinitelyTyped/tree/HEAD/types/chrome,Link 12,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25251/workflows/21d22088-dfb4-4186-80ad-007a466b78fb,Link 1,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25254/workflows/2cbad91b-e7e7-489a-aaca-f9301a7370f8,Link 2,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25248/workflows/b9cc7440-394b-4e72-9f40-f7213bd9d476,Link 3,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25254/workflows/e15b2c52-5405-4dfc-bdc9-14ed66dbbcdb,Link 4,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25257/workflows/c7321fb0-a3af-4797-b204-93918a2ec5d5,Link 5,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25250/workflows/bb852508-196f-4f3f-bbdc-62a3efbf68ec,Link 6,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25254/workflows/ea1e4222-1b14-4d7e-a34c-cb42c4f07464,Link 7,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25254/workflows/647bb458-e08c-489a-abb4-3e6d40416fd7,Link 8,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25249/workflows/4df648cf-3408-41d4-9813-5b861464f487,Link 9,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25257/workflows/71dae875-ab5e-4dcd-8488-63150222bc1a,Link 10,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25252/workflows/4bf25012-8b27-4190-b6f4-70076c27673b,Link 11,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25253/workflows/5f410996-10d1-42b0-873c-a623e1adc086,Link 12,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25257/workflows/f70cd73f-e3ed-4e63-8200-47a085f024e2,Link 13,
8,https://github.com/angular/angular/pull/39873,angular/angular,WIP - TEST,text,FALSE,27,https://app.circleci.com/pipelines/github/angular/angular/25249/workflows/3a2a8912-e725-422b-9094-fd45b7a76547,Link 14,
